"rt","chain","gloss","trialnum","response","clozeIndex","document","original","condition","age","comments","education","ethnicity","gender","language","languageFree","studyQuestionGuess","workerid"
6770,"125","He stand to i.",6,"which one should we keep",1,"120","He was standing next to me, but I did my best to concentrate on my soda and be polite.","caveman","21","no","2","white","female","eng",NA,"not sure",15
11919,"29","It pour with rain.",7,"When did it happen on holiday",1,"171","It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","caveman","21","no","2","white","female","eng",NA,"not sure",15
5156,"76","She decide.",8,"what bone did she break",1,"033","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","caveman","21","no","2","white","female","eng",NA,"not sure",15
20234,"11","Son behave.",9,"what would we be",4,"191","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","caveman","21","no","2","white","female","eng",NA,"not sure",15
6812,"86","I order.",10,"What soup should I order",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","caveman","21","no","2","white","female","eng",NA,"not sure",15
6552,"40","I have.",11,"what soup did the waitress offer",1,"086","I always had to speak up and try to get her attention for a refill.","caveman","21","no","2","white","female","eng",NA,"not sure",15
11347,"40","I have.",11,"what soup did the waitress offer",1,"086","I always had to speak up and try to get her attention for a refill.","caveman","21","no","2","white","female","eng",NA,"not sure",15
5642,"88","I interrupt.",12,"where should i go.",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","caveman","21","no","2","white","female","eng",NA,"not sure",15
8410,"18","Waiter say.",13,"How much should i tip",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","caveman","21","no","2","white","female","eng",NA,"not sure",15
7041,"47","He mention.",14,"when will the waiter come",1,"025","At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","caveman","21","no","2","white","female","eng",NA,"not sure",15
11848,"41","Food good.",15,"what did she ask",0,"243","The food was good, the service was good, we had a fun time.","caveman","21","no","2","white","female","eng",NA,"not sure",15
22608,"41","Food good.",15,"what did she ask",0,"243","The food was good, the service was good, we had a fun time.","caveman","21","no","2","white","female","eng",NA,"not sure",15
10798,"102","We start on way.",16,"How should i reply",7,"151","We started on our way out of the restaurant.","caveman","21","no","2","white","female","eng",NA,"not sure",15
9854,"78","You think.",17,"What rules do we not allow?",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","caveman","21","no","2","white","female","eng",NA,"not sure",15
30120,"11","We be.",1,"Son misbehave.",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","caveman","24","","2","Hispanic","female","eng",NA,"",16
46463,"84","Seconds come.",2,"Walk up to server.",0,"063","A few seconds later the server came to check on us and asked how our food was.","caveman","24","","2","Hispanic","female","eng",NA,"",16
14821,"40","Waitress offer.",3,"He gives.",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","caveman","24","","2","Hispanic","female","eng",NA,"",16
5288,"22","It thing.",4,"I eat.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","caveman","24","","2","Hispanic","female","eng",NA,"",16
21410,"125","He stand to i.",5,"Waiter leaves.",1,"120","He was standing next to me, but I did my best to concentrate on my soda and be polite.","caveman","24","","2","Hispanic","female","eng",NA,"",16
33531,"86","I order.",6,"I wait.",1,"248","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","caveman","24","","2","Hispanic","female","eng",NA,"",16
16353,"88","He tell.",7,"He ask.",5,"023","He told them they were no longer welcome.","caveman","24","","2","Hispanic","female","eng",NA,"",16
9151,"29","It pour with rain.",8,"Holiday end.",1,"171","It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","caveman","24","","2","Hispanic","female","eng",NA,"",16
11993,"68","Manager shout after they.",9,"He leave.",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","caveman","24","","2","Hispanic","female","eng",NA,"",16
11674,"62","I stick.",10,"I grab.",0,"151","At this point I'm just sticking around to watch the show.","caveman","24","","2","Hispanic","female","eng",NA,"",16
14221,"10","It freezing.",11,"It end.",1,"025","It's freezing this time of year so I didn't want to sit near the door.","caveman","24","","2","Hispanic","female","eng",NA,"",16
13364,"110","I refuse.",12,"I ask.",2,"050","I refused but also declined to tip the culprit.","caveman","24","","2","Hispanic","female","eng",NA,"",16
40841,"48","Judge try in reality.",13,"They are employees.",1,"022","In reality this ""judge'' was trying to hide his martini on the floor.","caveman","24","","2","Hispanic","female","eng",NA,"",16
4446,"76","She decide.",14,"She buy.",1,"033","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","caveman","24","","2","Hispanic","female","eng",NA,"",16
9955,"18","We remain for hour to spite.",15,"I sign.",1,"271","Just to spite him, we remained at our table for nearly 3 hours.","caveman","24","","2","Hispanic","female","eng",NA,"",16
7507,"168","Husband decide.",16,"I trip.",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","caveman","24","","2","Hispanic","female","eng",NA,"",16
9375,"41","Food good.",17,"We enter.",0,"243","The food was good, the service was good, we had a fun time.","caveman","24","","2","Hispanic","female","eng",NA,"",16
75981,"76","She break.",1,"She was finally able to decide.",0,"033","Of course, she breaks the teabag inside.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
19544,"22","It thing.",2,"I am ready to order.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
100883,"41","We seat.",3,"I need to ask for another item.",2,"120","We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
52453,"84","Server start.",4,"I can definitely still eat more.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
28580,"102","Salad deliver before appetizer.",5,"The waiter asks if we need anything else.",5,"151","The salads with the dinners were delivered before the appetizer we ordered.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
24063,"168","I embarrassed.",6,"The husband did not mind.",2,"177","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
26804,"58","It freezing.",7,"I find a table to enjoy my meal.",0,"171","It's freezing this time of year so I didn't want to sit near the door.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
67987,"21","Waitress come.",8,"I am deciding on what to eat.",0,"243","After perusing our menus, the waitress came over to take our order.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
32932,"18","Waiter say.",9,"We had rude service.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
28124,"11","Son behave.",10,"The son accidentally makes a mess.",4,"191","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
26421,"110","I refuse.",11,"I get home from work late.",2,"050","I refused but also declined to tip the culprit.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
18301,"88","He tell.",12,"I begin to get upset.",5,"023","He told them they were no longer welcome.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
16924,"78","We not allow.",13,"I think the meal was good.",0,"022","As I said, we did not allow it to tarnish our evening.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
23932,"40","I have.",14,"I decided to order another.",1,"086","I always had to speak up and try to get her attention for a refill.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
31806,"68","He throw.",15,"They decided to leave the restaurant.",5,"196","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
25238,"86","I order.",16,"We all arrive on time for our meal.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
28385,"10","It freezing.",17,"I decide to order it as well.",1,"025","It's freezing this time of year so I didn't want to sit near the door.","caveman","24","At first it was a little unclear on what to do but I picked it up quickly.","2","Mexican-American","male","eng+other",NA,"Context clues in a restaurant setting.",17
51921,"10","It was off to a bad start as soon as I walked in the door.",1,"The weather in Michigan winters sucks, especially in this old house.",0,"025","It was off to a bad start as soon as I walked in the door.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
35857,"76","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",2,"Now my tea is so strong I can't drink it.",1,"033","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","original","45","","4","Caucasian","male","eng",NA,"No idea",18
46674,"11","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.",3,"He eventually wore out and crashed.",4,"191","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
60400,"68","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",4,"After the third steak, the man was getting visibly agitated, and appeared to become violent.",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
34363,"88","I interrupted her stating, ""I will go get my manager,'' and walked away.",5,"I told the guest that their coupons were not any good here.",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
40917,"88","I interrupted her stating, ""I will go get my manager,'' and walked away.",5,"I told the guest that their coupons were not any good here.",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
67145,"168","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.",6,"My wife came completely unglued and threatened to sue the restaurant.",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
46928,"48","In reality this ""judge'' was trying to hide his martini on the floor.",7,"The patron was unruly, but looked too drunk to do anything about it.",1,"022","In reality this ""judge'' was trying to hide his martini on the floor.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
49343,"86","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.",8,"We did not know what the bill would look like, since the rest of the experience was so bad.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
26833,"41","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",9,"We love this restaurant.",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
22245,"40","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",10,"The waitress either can't hear or doesn't pay attention.",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
28352,"41","The food was good, the service was good, we had a fun time.",11,"We ended up carrying on quite a conversation with the waitress.",0,"120","The food was good, the service was good, we had a fun time.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
24727,"18","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",12,"The annoying waiter was a real douche.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
15683,"84","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",13,"We told him it was great.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
23012,"110","I wonder, however, what we could have done differently to avoid his attitude.",14,"We will not be back.",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
14908,"22","It was a good thing that they didn't prepare my meal before giving me the price!",15,"I have never been so embarrassed.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","original","45","","4","Caucasian","male","eng",NA,"No idea",18
33039,"102","We started on our way out of the restaurant.",16,"We got up and began to walk out of the restaurant.",7,"151","We started on our way out of the restaurant.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
22743,"29","It happened on a bank holiday and I was not at work that day.",17,"The next location was extremely small.",0,"171","It happened on a bank holiday and I was not at work that day.","original","45","","4","Caucasian","male","eng",NA,"No idea",18
88723,"84","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",1,"A server had just brought out food.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","original","22","","3","Caucasian","male","eng",NA,"",19
35611,"18","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",2,"Our waiter was totally awful. ",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","original","22","","3","Caucasian","male","eng",NA,"",19
25929,"76","Of course, she breaks the teabag inside.",3,"Martha has been being a complete pain all night.",0,"033","Of course, she breaks the teabag inside.","original","22","","3","Caucasian","male","eng",NA,"",19
41592,"88","He told them they were no longer welcome.",4,"I made it clear that I wouldn't tolerate that type of behavior either.",5,"023","He told them they were no longer welcome.","original","22","","3","Caucasian","male","eng",NA,"",19
41168,"40","I always had to speak up and try to get her attention for a refill.",5,"The waitress was helpful but seemed to dislike me.",1,"086","I always had to speak up and try to get her attention for a refill.","original","22","","3","Caucasian","male","eng",NA,"",19
15810,"102","We started on our way out of the restaurant.",6,"We began leaving the restaurant.",7,"151","We started on our way out of the restaurant.","original","22","","3","Caucasian","male","eng",NA,"",19
8294,"78","If anyone should know better, you'd think it was him, except for his sense of entitlement.",7,"We enjoyed the night just fine.",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","original","22","","3","Caucasian","male","eng",NA,"",19
86259,"20","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",8,"We spotted a couple of friends there.",1,"177","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","original","22","","3","Caucasian","male","eng",NA,"",19
67049,"110","I wonder, however, what we could have done differently to avoid his attitude.",9,"He offered to take it back to the kitchen to heat it up",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","original","22","","3","Caucasian","male","eng",NA,"",19
12265,"22","It was a good thing that they didn't prepare my meal before giving me the price!",10,"I had no money to pay. ",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","original","22","","3","Caucasian","male","eng",NA,"",19
74456,"41","The food was good, the service was good, we had a fun time.",11,"I was happy to be out at lunch.",0,"120","The food was good, the service was good, we had a fun time.","original","22","","3","Caucasian","male","eng",NA,"",19
16532,"21","After perusing our menus, the waitress came over to take our order.",12,"The waitress asked for my order.",0,"243","After perusing our menus, the waitress came over to take our order.","original","22","","3","Caucasian","male","eng",NA,"",19
42744,"68","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",13,"The couple ate some and decided to run out on the bill.",5,"196","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","original","22","","3","Caucasian","male","eng",NA,"",19
24074,"133","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",14,"We'd been waiting for food for nearly forty minutes",0,"191","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","original","22","","3","Caucasian","male","eng",NA,"",19
18266,"86","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",15,"They offered to make me a fresh new pie. ",1,"248","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","original","22","","3","Caucasian","male","eng",NA,"",19
29984,"58","It's freezing this time of year so I didn't want to sit near the door.",16,"I went to a restaurant and they told me to wait for an open table. ",0,"171","It's freezing this time of year so I didn't want to sit near the door.","original","22","","3","Caucasian","male","eng",NA,"",19
9527,"10","It's freezing this time of year so I didn't want to sit near the door.",17,"My day was horrible.",1,"025","It's freezing this time of year so I didn't want to sit near the door.","original","22","","3","Caucasian","male","eng",NA,"",19
30815,"88","He tell.",1,"He asked a question about the restaurant.",4,"023","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
16733,"86","I order.",2,"I called the restaurant",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
9995,"84","Server start.",3,"The food was great.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
8202,"10","It be.",4,"The dessert was served.",0,"025","It was off to a bad start as soon as I walked in the door.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
12557,"102","We start on way.",5,"I asked for the manager.",7,"151","We started on our way out of the restaurant.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
11158,"22","I order.",6,"I ordered a meal.",0,"153","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
14902,"40","I have.",7,"I accepted her offer.",1,"086","I always had to speak up and try to get her attention for a refill.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
16446,"78","We not allow.",8,"The waiter suggested an option.",0,"022","As I said, we did not allow it to tarnish our evening.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
14707,"18","Waiter say.",9,"The service was horrible",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
8050,"58","It freezing.",10,"I arrived at the restaurant.",0,"171","It's freezing this time of year so I didn't want to sit near the door.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
26109,"110","I wonder.",11,"I complained to the manager",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
18606,"11","We be.",12,"My son began to throw a tantrum",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
7732,"41","Food good.",13,"We arrived at the restaurant.",0,"243","The food was good, the service was good, we had a fun time.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
18366,"41","Food good.",14,"We were greeted by the hostess",0,"120","The food was good, the service was good, we had a fun time.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
8351,"168","I embarrassed.",15,"Everyone laughs at him.",2,"177","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
11285,"68","He put on table.",16,"The man asks for the time.",3,"196","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
10174,"76","She break.",17,"We argued about what we would get.",0,"033","Of course, she breaks the teabag inside.","caveman","26","None","4","Asian","male","eng",NA,"I don't know",20
73959,"40","I always had to speak up and try to get her attention for a refill.",1,"when they were half full",1,"086","I always had to speak up and try to get her attention for a refill.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
50473,"84","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",2,"She came back and asked us about the meal.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
37002,"62","At this point I'm just sticking around to watch the show.",3,"I found a snot rag in my salad.",0,"151","At this point I'm just sticking around to watch the show.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
72148,"68","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",4,"The man next to us thought they weren't giving him the full size of steak he ordered.",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
35552,"18","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",5,"We stayed at the table longer than normal and I tipped more than I should have.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
25059,"10","It was off to a bad start as soon as I walked in the door.",6,"It's so cold out now and the door is drafty.",0,"025","It was off to a bad start as soon as I walked in the door.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
51481,"41","The food was good, the service was good, we had a fun time.",7,"We're friendly, but I'm shy.",0,"243","The food was good, the service was good, we had a fun time.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
15430,"110","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.",8,"We are on a fixed income.",1,"050","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
77463,"86","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.",9,"The waitress made several mistakes on our order.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
78206,"88","I interrupted her stating, ""I will go get my manager,'' and walked away.",10,"They had brought coupons in that we didn't normally accept.",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
49814,"168","I was so embarrassed by the spectacle she made us into that I just wanted to leave.",11,"It's like they thought we were divorced.",2,"177","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
14476,"78","If anyone should know better, you'd think it was him, except for his sense of entitlement.",12,"We made up for the evening later on.",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
40020,"133","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",13,"It was hard to believe that they already had their food.",0,"191","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
60284,"76","Of course, she breaks the teabag inside.",14,"I looked at the rude woman on her cellphone as she held up the rest of the line.",0,"033","Of course, she breaks the teabag inside.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
51554,"58","It's freezing this time of year so I didn't want to sit near the door.",15,"They told me that the booth was reserved and so I couldn't have it.",0,"171","It's freezing this time of year so I didn't want to sit near the door.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
20225,"22","It was a good thing that they didn't prepare my meal before giving me the price!",16,"I had no idea how I was going to pay for the food.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
36373,"41","The food was good, the service was good, we had a fun time.",17,"We decided to try the new restaurant with good reviews.",0,"120","The food was good, the service was good, we had a fun time.","original","22","","4","Hispanic","female","eng",NA,"Creativity and interpretation of a context clues.",21
38315,"68","Manager shout after they.",1,"Man leave.",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
16408,"41","Food good.",2,"We decide.",0,"120","The food was good, the service was good, we had a fun time.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
11339,"86","I order.",3,"Group sit.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
11257,"88","I interrupt.",4,"I apologize.",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
20381,"11","Son behave.",5,"He make mistake.",4,"191","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
